ABREVIAÇÃO,PALAVRA
ACP,ACAMPAMENTO
ACS,ACESSO
AES,AUTO-ESTRADA
AGM,Auditoria Geral do Município
AL,ALAMEDA
ARR,ARRAIAL
ATL,ATALHO
AV,AVENIDA
BAL,BALNEÁRIO
BC,BECO
BDA,BEIRADA
BQ,BOSQUE
BRO,BAIRRO
BRR,BARRA
BV,BOULEVARD
BXD,BAIXADA
CAL,CALÇADA
CAM,CAMINHO
CH,CHÁCARA
CE,Colégio Estadual
CEmas,Centro Municipal de Assistência Social
ciams,centro integrado de atendimento médico
cmei,centro municipal de educação infantil
CID,CIDADE
CIR,CIRCULAR
CJ,CONJUNTO
CJR,CONJUNTO RESIDENCIAL
CLZ,COLONIZAÇÃO
CMP,CAMPUS
CNL,CANAL
COB,CANTEIRO DE OBRA
COL,COLÔNIA
CON,CONDOMÍNIO
COO,COOPERATIVA
COR,CÓRREGO
CP,CAPÃO
CPO,CAMPO
CER,CERRO
CRR,CORREDOR
CRZ,CRUZAMENTO
CSM,Comando do Serviço Militar
CVT,CONVENTO
CX,COXILHA
DEC,DESCIDA
DIS,DISTRITO
dr,doutor
ee,escola estadual
ed,edifício
em,escola municipal
DV,DESVIO
ELE,ELEVADO
eng,engenheiro
ELV,ELEVADOR
ENT,ENTRONCAMENTO
ESC,ESCADARIA
ESH,ESCADINHAS
ESP,ESPLANADA
ESQ,ESQUINA
ETÇ,ESTAÇÃO
ETN,ESTÂNCIA
ETR,ESTRADA
FÁB,FÁBRICA
FAZ,FAZENDA
FEI,FEIRA
FER,FERROVIA
FLO,FLORESTA
FON,FONTE
FOR,FORTALEZA
FT,FORTE
GLB,GLEBA
GLC,GLEBA CONSTRUÍDA
GLD,GLEBA CONDOMÍNIO
GLF,GLEBA FRACIONADA (CONDOMÍNIO HORIZONTAL)
GLL,GLEBA LOTEADA
GRJ,GRANJA
HIP,HIPÓDROMO
HRT,HORTO
ILH,ILHA
JD,JARDIM
LAD,LADEIRA
LAG,LAGO
LGA,LAGOA
LGO,LARGO
LIG,LIGAÇÃO
LOT,LOTEAMENTO
MAN,MANSÕES
MG,MARGEM
MRA,MARINA
MRC,MERCADO
MRG,MARGINAL
MRO,MORRO
NÚC,NÚCLEO
naps,Núcleo de Atenção Psicossocial
nuec,Núcleo de Educação Comunitária
PAÇ,PAÇO
PAR,PARTICULAR
PAS,PASSAGEM
PÁT,PÁTIO
PÇ,PRAÇA
PEN,PENÍNSULA
PJÇ,PROJEÇÃO
PJD,PROJETADA
PLG,PROLONGAMENTO
PLO,PLANALTO
PLT,PALAFITA
PNT,PENITENCIÁRIA
PR,PRAIA
PRD,PARQUE RESIDENCIAL
PRQ,PARQUE
PRT,PORTO
PSO,PASSEIO
PSR,PASSARELA
PTE,PONTE
PT,PONTO
QRT,QUARTEIRÃO
R,RUA
RCH,RANCHO
RDV,RODOVIA
RE,RUELA
REC,RECANTO
RES,RESIDENCIAL
RIO,RIO
S,SETOR
SER,SERRA
SIR,SÍTIO DE RECREIO
SIT,SÍTIO
SQ,SUPERQUADRA
SUB,SUBIDA
SVD,SERVIDÃO
TR,TRAVESSA
TRV,TREVO
V,VALE
VAR,VARIANTE
VD,VIADUTO
VEL,VIELA
VGN,VIAGEM
VIA,VIA
VL,VILA
VLG,VILAGE
VRD,VEREDA
VRG,VARGEM
ZIN,ZONA INDUSTRIAL
ZON,ZONA